"model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
" 1 Series",2017,15280,"Manual",10191,"Diesel",150,68.9,2
" X3",2019,36990,"Semi-Auto",5104,"Diesel",145,54.3,2
" 2 Series",2019,29960,"Semi-Auto",5720,"Diesel",145,49.6,2
" M3",2019,62995,"Semi-Auto",5957,"Petrol",145,33.2,3
" 5 Series",2017,20995,"Semi-Auto",23116,"Diesel",30,62.8,2
" X3",2014,13995,"Semi-Auto",33655,"Diesel",165,50.4,2
" X4",2017,24500,"Semi-Auto",22768,"Diesel",145,54.3,2
" 2 Series",2019,17980,"Manual",7168,"Petrol",145,52.3,1.5
" 4 Series",2019,31995,"Manual",110,"Diesel",145,55.4,2
" 3 Series",2015,12237,"Manual",56111,"Diesel",30,64.2,2
" 2 Series",2019,28995,"Semi-Auto",5721,"Petrol",145,38.2,3
" X3",2019,36222,"Semi-Auto",4624,"Diesel",145,48.7,3
" 4 Series",2016,20991,"Automatic",14613,"Diesel",125,60.1,2
" X6",2013,15800,"Automatic",77014,"Diesel",300,38.2,3
" 1 Series",2015,7500,"Manual",81750,"Diesel",0,74.3,1.6
" X1",2016,17195,"Manual",18960,"Diesel",125,60.1,2
" 1 Series",2013,8999,"Manual",57000,"Diesel",30,65.7,2
" 4 Series",2019,24750,"Semi-Auto",4642,"Petrol",145,45.6,2
" 4 Series",2019,30995,"Automatic",1500,"Petrol",145,41.5,3
" X3",2019,56950,"Semi-Auto",6597,"Petrol",145,24.8,3
" X5",2019,58000,"Automatic",4010,"Diesel",145,33.6,3
" 3 Series",2019,27195,"Semi-Auto",4036,"Diesel",145,52.3,2
" 3 Series",2016,11250,"Automatic",70600,"Diesel",30,70.6,2
" 1 Series",2016,13908,"Semi-Auto",13708,"Diesel",20,68.9,1.5
" 3 Series",2016,14999,"Automatic",70054,"Hybrid",0,148.7,2
" 1 Series",2019,22950,"Semi-Auto",4811,"Diesel",145,60.1,2
" 2 Series",2017,16798,"Semi-Auto",23843,"Diesel",145,64.2,2
" 4 Series",2018,24000,"Manual",24848,"Petrol",145,36.7,3
" X3",2019,39999,"Semi-Auto",3769,"Petrol",145,34.5,3
" 4 Series",2019,29995,"Automatic",999,"Diesel",145,53.3,3
" 2 Series",2016,12400,"Automatic",44511,"Diesel",30,64.2,2
" X5",2019,52450,"Semi-Auto",101,"Diesel",145,37.7,3
" 1 Series",2019,22980,"Manual",3744,"Petrol",145,44.1,1.5
" 4 Series",2019,30450,"Automatic",10638,"Petrol",145,39.2,3
" 5 Series",2019,30000,"Automatic",16267,"Hybrid",140,156.9,2
" X2",2019,25980,"Automatic",5062,"Diesel",145,61.4,2
" X2",2018,22960,"Semi-Auto",6350,"Diesel",150,50.4,2
" 5 Series",2019,30494,"Semi-Auto",13098,"Hybrid",135,156.9,2
" 5 Series",2019,27241,"Semi-Auto",7657,"Hybrid",150,49.6,2
" X1",2019,22500,"Manual",1272,"Petrol",145,54.3,1.5
" 3 Series",2014,11180,"Automatic",60015,"Diesel",30,62.8,2
" X7",2020,64999,"Semi-Auto",4000,"Diesel",145,33.6,3
" 1 Series",2019,18998,"Manual",12250,"Diesel",150,70.6,1.5
" 2 Series",2019,22646,"Manual",123,"Petrol",145,52.3,1.5
" 1 Series",2017,19700,"Automatic",36069,"Petrol",200,39.8,3
" X5",2019,46980,"Semi-Auto",8371,"Diesel",145,37.7,3
" 1 Series",2017,16990,"Automatic",23000,"Diesel",30,65.7,2
" X5",2019,46980,"Semi-Auto",2062,"Diesel",150,37.7,3
" 1 Series",2019,26990,"Semi-Auto",3660,"Petrol",145,40.4,1.5
" 5 Series",2016,17500,"Automatic",36155,"Diesel",160,51.4,3
" M4",2015,29490,"Semi-Auto",37724,"Petrol",325,32.5,3
" 1 Series",2012,7899,"Manual",85827,"Diesel",30,62.8,2
" 2 Series",2019,21880,"Semi-Auto",1853,"Petrol",145,40.9,1.5
" X2",2019,34368,"Automatic",123,"Petrol",145,34,2
" X3",2016,21750,"Automatic",19083,"Diesel",150,54.3,2
" 1 Series",2020,31998,"Semi-Auto",1560,"Diesel",150,48.7,2
" 1 Series",2016,11100,"Manual",29508,"Petrol",125,53.3,1.5
" 5 Series",2012,8499,"Manual",77201,"Diesel",30,62.8,2
" 5 Series",2019,32250,"Semi-Auto",11432,"Diesel",145,51.4,3
" X5",2019,61083,"Semi-Auto",2151,"Diesel",145,33.6,3
" X2",2019,29770,"Automatic",123,"Diesel",145,48.7,2
" 8 Series",2019,88980,"Semi-Auto",88,"Petrol",145,24.4,4.4
" 2 Series",2016,13940,"Automatic",79983,"Diesel",20,68.9,2
" 5 Series",2019,23775,"Semi-Auto",4447,"Petrol",145,50.4,2
" X1",2019,24500,"Semi-Auto",8410,"Petrol",145,47.9,2
" 2 Series",2016,17842,"Automatic",31931,"Diesel",145,55.4,2
" i3",2017,20495,"Automatic",20082,"Hybrid",135,470.8,NA
" X1",2017,19995,"Semi-Auto",20570,"Diesel",145,55.4,2
" 3 Series",2017,22998,"Semi-Auto",19505,"Diesel",145,51.4,3
" 3 Series",2017,17991,"Semi-Auto",48356,"Diesel",30,64.2,2
" 2 Series",2016,14480,"Semi-Auto",19821,"Diesel",30,64.2,2
" M3",2018,37991,"Manual",18311,"Petrol",150,32.1,3
" 4 Series",2017,18990,"Automatic",23163,"Diesel",30,NA,2
" 2 Series",2019,20498,"Semi-Auto",6195,"Petrol",145,47.9,2
" 4 Series",2015,13975,"Automatic",70381,"Diesel",145,55.4,3
" 2 Series",2016,20990,"Semi-Auto",21924,"Petrol",260,37.2,3
" 5 Series",2019,39995,"Semi-Auto",4242,"Diesel",145,51.4,3
" 1 Series",2017,15672,"Manual",20327,"Petrol",125,52.3,1.5
" 5 Series",2015,16082,"Semi-Auto",43836,"Diesel",30,62.8,2
" 3 Series",2016,13980,"Semi-Auto",40146,"Petrol",145,47.9,2
" 5 Series",2017,24200,"Automatic",21236,"Diesel",145,60.1,3
" 1 Series",2015,10000,"Manual",35259,"Diesel",0,83.1,1.5
" X5",2016,27852,"Automatic",57501,"Hybrid",0,85.6,2
" 4 Series",2019,25000,"Semi-Auto",8592,"Diesel",145,65.7,2
" X4",2016,20022,"Semi-Auto",64000,"Diesel",145,54.3,2
" 5 Series",2018,19500,"Automatic",42226,"Petrol",145,50.4,2
" 2 Series",2017,18990,"Automatic",14000,"Diesel",145,65.7,2
" 3 Series",2018,19490,"Automatic",30703,"Diesel",145,57.6,2
" X5",2017,31950,"Automatic",27932,"Diesel",145,47.1,3
" 3 Series",2015,15990,"Automatic",29000,"Diesel",145,56.5,3
" 2 Series",2018,16875,"Automatic",32618,"Petrol",145,51.4,1.5
" 3 Series",2019,29000,"Semi-Auto",8555,"Petrol",145,40.9,2
" 1 Series",2016,16990,"Manual",23000,"Petrol",260,36.2,3
" 5 Series",2016,17498,"Semi-Auto",29823,"Diesel",160,51.4,3
" X1",2019,28790,"Semi-Auto",3911,"Petrol",145,38.7,2
" 1 Series",2016,13500,"Automatic",34144,"Diesel",20,68.9,1.5
" 3 Series",2019,24990,"Manual",4850,"Diesel",145,64.2,2
" 1 Series",2014,9352,"Manual",63669,"Diesel",20,68.9,2
" X5",2019,44850,"Automatic",9740,"Diesel",145,37.7,3
" 1 Series",2016,10637,"Manual",40245,"Diesel",0,83.1,1.5
" i8",2019,74226,"Automatic",10,"Hybrid",135,141.2,1.5
" M4",2015,29997,"Semi-Auto",20100,"Petrol",300,34,3
" 1 Series",2015,11950,"Semi-Auto",67500,"Diesel",20,67.3,2
" 2 Series",2019,17990,"Semi-Auto",9401,"Diesel",145,56.5,1.5
" 1 Series",2016,13158,"Semi-Auto",31218,"Diesel",20,70.6,2
" 3 Series",2015,13995,"Semi-Auto",37798,"Diesel",30,64.2,2
" X6",2018,37900,"Semi-Auto",11500,"Diesel",150,40.9,3
" X2",2018,23000,"Automatic",10369,"Diesel",145,58.9,2
" 2 Series",2015,15882,"Semi-Auto",23742,"Petrol",125,51.4,1.5
" 1 Series",2013,7300,"Manual",67444,"Petrol",145,50.4,1.6
" 4 Series",2019,27990,"Semi-Auto",9529,"Diesel",145,60.1,2
" 1 Series",2015,10430,"Manual",29454,"Petrol",30,56.5,1.5
" 1 Series",2019,22750,"Manual",9345,"Diesel",145,65.7,2
" 3 Series",2020,39950,"Semi-Auto",10,"Diesel",145,48.7,2
" X1",2017,15400,"Manual",18000,"Diesel",20,68.9,2
" 3 Series",2019,25780,"Semi-Auto",7004,"Petrol",145,45.6,2
" 3 Series",2019,28995,"Automatic",16367,"Diesel",145,52.3,2
" 2 Series",2015,12400,"Automatic",20452,"Diesel",20,68.9,2
" X3",2019,53898,"Semi-Auto",6520,"Petrol",145,24.8,3
" X2",2020,33940,"Automatic",2182,"Petrol",145,34,2
" 5 Series",2019,30950,"Semi-Auto",3795,"Diesel",145,55.4,2
" 5 Series",2019,27780,"Semi-Auto",12182,"Diesel",145,65.7,2
" 1 Series",2016,12700,"Automatic",24592,"Diesel",20,68.9,2
" X1",2016,17360,"Semi-Auto",25710,"Diesel",30,65.7,2
" 1 Series",2020,26495,"Semi-Auto",10,"Petrol",145,42.8,1.5
" 5 Series",2019,28000,"Automatic",1651,"Diesel",145,65.7,2
" 4 Series",2019,31898,"Semi-Auto",4125,"Diesel",145,50.4,3
" X3",2015,16680,"Semi-Auto",70864,"Diesel",150,54.3,2
" 1 Series",2019,19475,"Manual",4168,"Petrol",145,52.3,1.5
" X1",2018,16999,"Automatic",35077,"Diesel",145,65.7,2
" X3",2019,54980,"Semi-Auto",1525,"Petrol",145,24.8,3
" X3",2019,38000,"Automatic",8794,"Diesel",145,36.7,3
" 6 Series",2016,20990,"Automatic",34000,"Diesel",200,49.6,3
" X5",2014,20490,"Automatic",38000,"Diesel",200,45.6,3
" 3 Series",2014,11470,"Semi-Auto",49500,"Diesel",30,62.8,2
" 3 Series",2018,18157,"Automatic",28438,"Diesel",145,62.8,2
" 1 Series",2019,29790,"Semi-Auto",12,"Petrol",145,39.8,3
" 5 Series",2020,27990,"Semi-Auto",9,"Hybrid",150,49.6,2
" 3 Series",2014,12795,"Semi-Auto",63592,"Diesel",125,60.1,2
" 3 Series",2018,19895,"Semi-Auto",13909,"Diesel",145,60.1,2
" X1",2010,6695,"Manual",64000,"Diesel",145,54.3,2
" 4 Series",2015,13495,"Manual",42348,"Petrol",200,40.4,2
" 1 Series",2017,12250,"Manual",24757,"Petrol",150,56.5,1.5
" 4 Series",2019,28000,"Semi-Auto",6451,"Diesel",145,58.9,2
" 2 Series",2016,11999,"Manual",32878,"Petrol",125,52.3,1.5
" 1 Series",2016,11799,"Manual",18644,"Diesel",0,78.5,1.5
" 1 Series",2017,19450,"Automatic",45000,"Petrol",150,39.8,3
" X1",2010,8995,"Automatic",51000,"Diesel",200,45.6,2
" 1 Series",2019,15199,"Manual",11191,"Petrol",145,53.3,1.5
" X2",2020,30990,"Manual",6,"Petrol",145,42.8,1.5
" X2",2019,24980,"Manual",3189,"Diesel",145,48.7,2
" 4 Series",2016,15699,"Manual",41993,"Diesel",30,62.8,2
" 3 Series",2015,13695,"Manual",30000,"Diesel",125,60.1,2
" 1 Series",2017,13300,"Automatic",25933,"Diesel",20,72.4,1.5
" 3 Series",2020,28990,"Semi-Auto",14,"Diesel",145,50.4,2
" 2 Series",2020,26995,"Semi-Auto",3500,"Petrol",145,50.4,1.5
" 2 Series",2020,25000,"Automatic",2980,"Petrol",145,40.9,1.5
" 1 Series",2017,21980,"Semi-Auto",12869,"Petrol",145,39.8,3
" 1 Series",2017,16185,"Automatic",37834,"Diesel",145,67.3,2
" 5 Series",2020,32995,"Semi-Auto",11,"Hybrid",145,49.6,2
" 3 Series",2020,32000,"Semi-Auto",1798,"Diesel",145,52.3,2
" 4 Series",2019,27950,"Automatic",4900,"Petrol",145,48.7,2
" 3 Series",2019,33444,"Automatic",3725,"Diesel",145,50.4,2
" 5 Series",2016,16000,"Automatic",33527,"Diesel",30,62.8,2
" 4 Series",2015,21000,"Automatic",17006,"Petrol",235,38.2,3
" X1",2020,25980,"Semi-Auto",19,"Diesel",145,60.1,2
" 2 Series",2019,18495,"Semi-Auto",4568,"Diesel",145,52.3,2
" 1 Series",2016,12998,"Semi-Auto",31879,"Diesel",0,78.5,1.5
" 2 Series",2019,18250,"Manual",6685,"Diesel",150,65.7,2
" X4",2016,23995,"Automatic",44572,"Diesel",200,47.9,3
" 3 Series",2018,17000,"Automatic",10877,"Petrol",145,54.3,1.5
" 2 Series",2019,21000,"Semi-Auto",2380,"Petrol",145,40.9,1.5
" 1 Series",2016,10490,"Manual",36000,"Diesel",20,68.9,2
" 3 Series",2014,18000,"Automatic",67455,"Diesel",160,50.4,3
" 1 Series",2017,15875,"Manual",16000,"Diesel",150,68.9,2
" 4 Series",2019,27450,"Semi-Auto",6124,"Petrol",150,45.6,2
" 5 Series",2020,30485,"Semi-Auto",6,"Petrol",145,50.4,2
" 1 Series",2018,16998,"Manual",11784,"Diesel",145,49.6,2
" 3 Series",2006,2500,"Manual",105000,"Petrol",240,38.7,2
" X2",2019,25840,"Semi-Auto",105,"Diesel",145,50.4,2
" 3 Series",2011,10490,"Automatic",73000,"Diesel",235,42.8,3
" 3 Series",2019,29485,"Semi-Auto",4686,"Petrol",150,42.2,2
" 1 Series",2020,28875,"Semi-Auto",150,"Petrol",145,42.8,1.5
" 1 Series",2015,10388,"Manual",28640,"Diesel",0,83.1,1.5
" 4 Series",2015,16000,"Automatic",45000,"Diesel",30,65.7,2
" 3 Series",2019,24450,"Manual",2912,"Diesel",145,64.2,2
" 7 Series",2016,35480,"Automatic",8814,"Petrol",300,35.3,4.4
" 6 Series",2006,4999,"Automatic",126054,"Petrol",555,29.7,3
" X1",2019,30995,"Semi-Auto",1000,"Diesel",145,NA,2
" X1",2019,25590,"Semi-Auto",5354,"Diesel",145,36.7,2
" M4",2020,52988,"Automatic",10,"Petrol",150,34,3
" 5 Series",2017,24990,"Automatic",42000,"Diesel",145,53.3,3
" 5 Series",2019,31030,"Automatic",123,"Diesel",145,49.6,2
" 5 Series",2020,32495,"Semi-Auto",931,"Hybrid",145,49.6,2
" 2 Series",2019,22980,"Automatic",2869,"Diesel",145,49.6,2
" 2 Series",2019,21850,"Automatic",4389,"Petrol",145,40.9,1.5
" X3",2015,17000,"Automatic",36275,"Diesel",145,54.3,2
" X3",2015,17000,"Semi-Auto",35500,"Diesel",200,47.9,3
" 2 Series",2016,14879,"Automatic",20937,"Petrol",125,51.4,1.5
" X3",2012,8799,"Automatic",98123,"Diesel",160,50.4,2
" 3 Series",2019,35995,"Automatic",17188,"Diesel",145,49.6,2
" X4",2017,23900,"Automatic",23604,"Diesel",150,54.3,2
" X5",2019,44875,"Automatic",11918,"Diesel",145,37.7,3
" 1 Series",2019,20750,"Manual",5225,"Petrol",150,44.1,1.5
" 4 Series",2019,24990,"Semi-Auto",102,"Diesel",145,65.7,2
" 3 Series",2016,17450,"Semi-Auto",16413,"Diesel",30,62.8,2
" 1 Series",2017,11800,"Manual",37337,"Diesel",20,70.6,1.5
" 4 Series",2019,30890,"Semi-Auto",6100,"Petrol",145,41.5,3
" 2 Series",2016,12368,"Manual",30243,"Petrol",125,50.4,1.5
" 5 Series",2017,22300,"Automatic",12727,"Diesel",150,65.7,2
" 5 Series",2019,31995,"Automatic",10,"Petrol",145,36.2,2
" 5 Series",2014,14090,"Semi-Auto",62890,"Diesel",160,51.4,3
" 3 Series",2016,11099,"Manual",88192,"Diesel",30,65.7,2
" 2 Series",2019,26990,"Automatic",4428,"Petrol",145,50.4,1.5
" 1 Series",2014,15965,"Manual",30000,"Petrol",305,35.3,3
" X2",2019,32570,"Semi-Auto",103,"Petrol",145,34,2
" X3",2017,14900,"Automatic",53325,"Diesel",145,54.3,2
" 4 Series",2016,16700,"Automatic",43463,"Diesel",30,65.7,2
" 1 Series",2019,23780,"Semi-Auto",5939,"Petrol",145,40.4,1.5
" X5",2019,48193,"Semi-Auto",6776,"Diesel",145,37.7,3
" 4 Series",2019,30980,"Semi-Auto",2649,"Petrol",145,41.5,3
" 5 Series",2019,26566,"Automatic",6384,"Diesel",145,62.8,2
" 2 Series",2019,20999,"Semi-Auto",4923,"Petrol",145,47.9,2
" X5",2015,35400,"Automatic",27947,"Diesel",235,42.8,3
" X3",2019,56000,"Semi-Auto",4187,"Petrol",145,24.8,3
" 1 Series",2017,14030,"Semi-Auto",40344,"Diesel",145,68.9,1.5
" 3 Series",2017,15900,"Automatic",68875,"Other",140,134.5,2
" 3 Series",2011,6290,"Manual",72082,"Diesel",125,60.1,2
" X1",2016,13490,"Manual",78256,"Diesel",20,68.9,2
" X3",2016,16800,"Automatic",43956,"Diesel",145,54.3,2
" X3",2019,37900,"Semi-Auto",7776,"Diesel",150,48.7,3
" M5",2019,89900,"Semi-Auto",2269,"Petrol",145,24.1,4.4
" X1",2019,22500,"Manual",7000,"Petrol",150,51.4,1.5
" X4",2019,35694,"Semi-Auto",4832,"Diesel",145,42.8,2
" 5 Series",2015,12900,"Automatic",82000,"Diesel",30,62.8,2
" 3 Series",2014,12317,"Automatic",49998,"Diesel",145,57.6,2
" 1 Series",2019,25490,"Semi-Auto",2510,"Diesel",145,51.4,2
" 5 Series",2016,9000,"Manual",93240,"Diesel",30,65.7,2
" 4 Series",2018,26500,"Semi-Auto",10305,"Petrol",150,41.5,3
" 6 Series",2019,35980,"Semi-Auto",8004,"Diesel",145,47.9,3
" 5 Series",2013,11995,"Automatic",70000,"Diesel",145,55.4,2
" 4 Series",2020,42194,"Semi-Auto",101,"Petrol",145,39.2,3
" 5 Series",2017,23498,"Semi-Auto",17231,"Diesel",145,53.3,3
" 5 Series",2015,11930,"Automatic",89986,"Diesel",125,60.1,2
" 1 Series",2016,14991,"Manual",7000,"Diesel",30,65.7,2
" 2 Series",2018,24940,"Semi-Auto",5577,"Petrol",145,32.5,3
" X2",2020,32980,"Semi-Auto",1500,"Diesel",145,61.4,2
" 3 Series",2019,31390,"Semi-Auto",5029,"Petrol",145,40.9,2
" 8 Series",2019,55980,"Automatic",10000,"Diesel",145,40.4,3
" 1 Series",2014,13990,"Semi-Auto",20402,"Diesel",30,64.2,2
" X4",2018,33998,"Semi-Auto",14777,"Diesel",145,42.8,2
" 4 Series",2016,11250,"Manual",97706,"Diesel",30,62.8,2
" 4 Series",2019,37450,"Semi-Auto",10,"Diesel",145,60.1,2
" 5 Series",2020,27990,"Semi-Auto",105,"Hybrid",145,49.6,2
" 6 Series",2019,52500,"Automatic",9000,"Diesel",145,42.2,2
" 1 Series",2019,18999,"Semi-Auto",12011,"Diesel",145,65.7,2
" 2 Series",2019,26994,"Automatic",13,"Hybrid",135,NA,1.5
" 5 Series",2014,11998,"Semi-Auto",60681,"Diesel",125,57.6,2
" 5 Series",2014,6995,"Manual",127798,"Diesel",125,57.6,2
" X2",2020,25990,"Semi-Auto",101,"Petrol",145,40.4,2
" 5 Series",2015,13279,"Automatic",50355,"Diesel",30,62.8,2
" X1",2017,17500,"Automatic",27753,"Diesel",145,65.7,2
" 1 Series",2016,13995,"Automatic",62000,"Petrol",235,37.7,3
" X1",2016,17410,"Automatic",32123,"Diesel",125,57.6,2
" 3 Series",2013,10699,"Automatic",40022,"Diesel",30,62.8,2
" X1",2015,12990,"Automatic",57000,"Diesel",160,51.4,2
" X2",2020,30990,"Semi-Auto",10,"Petrol",145,42.8,1.5
" 2 Series",2019,16998,"Manual",3935,"Petrol",150,40.9,1.5
" Z4",2020,44300,"Semi-Auto",1801,NA,150,33.2,3
" 3 Series",2014,12692,"Manual",33179,"Petrol",200,43.5,2
" 1 Series",2016,6990,"Manual",86000,"Diesel",20,68.9,2
" 4 Series",2018,21750,"Semi-Auto",13754,"Petrol",150,48.7,2
" 2 Series",2019,21920,"Semi-Auto",7060,"Diesel",145,49.6,2
" 3 Series",2019,27440,"Semi-Auto",1700,"Diesel",145,52.3,2
" 2 Series",2019,23999,"Semi-Auto",5000,"Petrol",145,40.9,1.5
" 1 Series",2018,16200,"Automatic",9856,"Petrol",145,55.5,1.5
" X3",2015,19795,"Semi-Auto",51451,"Diesel",200,47.1,3
" X3",2018,31000,"Semi-Auto",20290,"Diesel",145,48.7,3
" X1",2017,19498,"Semi-Auto",21346,"Diesel",145,55.4,2
" 4 Series",2019,28995,"Semi-Auto",1501,"Diesel",145,65.7,2
" 2 Series",2019,23810,"Automatic",151,"Diesel",145,49.6,2
" 5 Series",2016,13299,"Automatic",80823,"Diesel",30,62.8,2
" Z4",2013,13700,"Automatic",35554,"Petrol",205,41.5,2
" 1 Series",2017,13806,"Manual",20038,"Petrol",125,53.3,1.5
" 1 Series",2018,18000,"Semi-Auto",7929,"Petrol",150,36.7,1.5
" M6",2015,33500,"Automatic",28314,"Petrol",555,28.5,4.4
" 4 Series",2017,20217,"Manual",31959,"Petrol",145,43.5,2
" 1 Series",2017,15490,"Semi-Auto",57796,"Diesel",150,67.3,2
" 5 Series",2016,14400,"Automatic",51552,"Diesel",30,62.8,2
" 3 Series",2015,12245,"Semi-Auto",27721,"Diesel",30,64.2,2
" X1",2018,19250,"Automatic",4972,"Diesel",145,60.1,2
" 1 Series",2016,10799,"Manual",37087,NA,0,83.1,1.5
" X3",2015,15450,"Automatic",42437,"Diesel",145,54.3,2
" 1 Series",2017,15981,"Manual",44426,"Petrol",150,52.3,1.5
" 4 Series",2016,19642,"Semi-Auto",23575,"Diesel",125,60.1,2
" 2 Series",2018,14995,"Automatic",13889,"Petrol",145,55.4,1.5
" X5",2015,26500,"Automatic",31885,"Diesel",160,52.3,2
" X2",2019,31310,"Semi-Auto",4890,"Diesel",145,58.9,2
" X1",2016,13999,"Manual",30466,"Diesel",20,68.9,2
" X6",2019,41780,"Semi-Auto",13000,"Diesel",145,44.8,3
" 4 Series",2019,26490,"Automatic",6751,"Petrol",145,48.7,2
" 3 Series",2019,23980,"Semi-Auto",1051,"Petrol",145,47.9,2
" 1 Series",2016,13400,"Manual",18055,"Petrol",125,52.3,1.5
" X4",2019,37980,"Semi-Auto",1852,"Diesel",145,40.4,3
" 4 Series",2019,31175,"Manual",123,"Petrol",145,46.3,2
" X1",2017,20092,"Semi-Auto",25610,"Petrol",160,44.8,2
" 5 Series",2019,32995,"Semi-Auto",1000,"Diesel",145,60.1,2
" 4 Series",2014,16995,"Semi-Auto",25276,"Diesel",145,56.5,2
" 2 Series",2019,24998,"Semi-Auto",8555,"Diesel",145,46.3,2
" 4 Series",2018,21470,"Automatic",40553,"Petrol",145,41.5,3
" 3 Series",2017,16891,"Manual",17907,"Petrol",150,43.5,2
" 1 Series",2016,13580,"Manual",36994,"Petrol",125,52.3,1.5
" X7",2019,73990,"Semi-Auto",1657,"Diesel",145,31.4,3
" 1 Series",2016,12999,"Manual",20467,"Diesel",20,70.6,1.5
" 3 Series",2019,23498,"Semi-Auto",7516,"Diesel",145,54.3,2
" 4 Series",2016,17127,"Semi-Auto",34479,"Diesel",30,65.7,2
" X1",2019,31440,"Semi-Auto",9507,"Petrol",145,38.7,2
" X1",2016,20232,"Semi-Auto",24592,"Petrol",160,44.8,2
" X1",2017,15732,"Manual",23575,"Diesel",20,68.9,2
" 3 Series",2011,8470,"Manual",67869,"Diesel",125,60.1,2
" X5",2014,18998,"Automatic",84512,"Diesel",205,47.9,2
" 5 Series",2014,14790,"Automatic",19503,"Diesel",160,51.4,3
